	cleaned_inst_segment	index
0	mok move right	0.0
1	move four feet	0.0
2	turn left	0.0
3	move seven feet	0.0
4	mok turn left	1.0
5	move four feet up	1.0
6	turn right	1.0
7	move seven feet	1.0
8	mok move back three feet	2.0
9	mok turn right	3.0
10	move four feet up	3.0
11	turn left	3.0
12	move seven feet	3.0
13	mok move up three feet	4.0
14	mok move two feet backwards	5.0
15	turn left	5.0
16	move seven feet	5.0
17	mok turn right	6.0
18	move two feet up	6.0
19	turn left	6.0
20	move eleven feet up	6.0
21	turn left	6.0
22	move two feet up	6.0
23	mok move three feet backwards	7.0
24	mok turn right	8.0
25	move two feet up	8.0
26	turn right	8.0
27	move seven feet	8.0
28	mok move two feet up	9.0
29	turn right	9.0
30	move seven feet	9.0
31	mok move three feet back	10.0
32	mok turn right	11.0
33	move two feet up	11.0
34	turn right	11.0
35	move seven feet	11.0
36	mok turn left	12.0
37	move two feet up	12.0
38	turn right	12.0
39	move seven feet	12.0
40	mok move two feet up	13.0
41	turn right	13.0
42	move seven feet	13.0
43	mok move three feet up	14.0
44	mok move back four feet	15.0
45	turn right	15.0
46	move seven feet	15.0
47	mok move four feet back	16.0
48	turn right	16.0
49	move seven feet	16.0
50	mok move two feet up	17.0
51	turn right	17.0
52	move seven feet	17.0
53	mok turn left	18.0
54	move three feet up	18.0
55	mok turn right	19.0
56	move two feet up	19.0
57	turn right	19.0
58	move seven feet	19.0
60	mok move four feet up	20.0
61	turn left	20.0
62	move seven feet	20.0
64	mok turn right	21.0
65	move four feet	21.0
66	turn left	21.0
67	move seven feet	21.0
69	mok turn left	22.0
70	move two feet up	22.0
71	turn right	22.0
72	move eleven feet	22.0
73	turn right	22.0
74	move two feet	22.0
76	mok turn left	23.0
77	move two feet up	23.0
78	turn right	23.0
79	move seven feet	23.0
81	mok turn left	24.0
82	move three feet	24.0
84	mok move up a foot	25.0
85	turn left	25.0
86	move eleven feet	25.0
87	turn left	25.0
88	move a foot	25.0
90	mok move four feet up	26.0
91	turn left	26.0
92	move seven feet	26.0
94	mok turn right	27.0
95	move four feet up	27.0
96	turn left	27.0
97	move seven feet	27.0
99	mok turn left	28.0
100	move a foot	28.0
101	turn right	28.0
102	move eleven feet	28.0
103	turn left	28.0
104	move a foot up	28.0
106	mok turn right	29.0
107	move up a foot	29.0
108	turn right	29.0
109	move eleven feet	29.0
110	turn right	29.0
111	move a foot	29.0
113	mok turn right	30.0
114	move four feet up	30.0
115	turn left	30.0
116	move seven feet	30.0
118	mok move up four feet	31.0
119	turn left	31.0
120	move seven feet	31.0
122	mok turn right	32.0
123	move three feet up	32.0
125	mok turn left	33.0
126	move up two feet	33.0
127	turn right	33.0
128	move eleven feet	33.0
129	turn right	33.0
130	move two feet down	33.0
132	mok move three feet up	34.0
134	mok move two feet back	35.0
135	turn left	35.0
136	move seven feet up	35.0
138	mok turn right	36.0
139	move three feet up	36.0
141	mok turn left	37.0
142	move two feet up	37.0
143	turn left	37.0
144	move eleven feet	37.0
145	turn left	37.0
146	move up two feet	37.0
148	mok move two feet up	38.0
149	turn right	38.0
150	move eleven feet	38.0
151	turn right	38.0
152	move two feet forward	38.0
154	mok move two feet back	39.0
155	turn left	39.0
156	move seven feet forward	39.0
158	mok turn right	40.0
159	move three feet forward	40.0
161	mok move two feet up	41.0
162	turn right	41.0
163	move eleven feet	41.0
164	turn right	41.0
165	move two feet	41.0
167	mok move four feet backwards	42.0
168	turn right	42.0
