	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP	index	depSum_p	depSum_k	headSum_p	headSum_k	cohesion	cohesion_norm	ifmt	inst_len	ifmt_norm
0	mok move right	3	[2]	[{mok, right}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]	0.0	0	2	0	1	2	0.67	-3.0	11.0	-0.27
1	move four feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {four}]	['move', 'move']	[1, 1]	['VERB']	0.0	2	0	2	0	-2	-0.67	0.0	12.0	0.0
2	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	0.0	1	0	1	0	-1	-0.5	2.0	5.0	0.4
3	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	0.0	2	0	2	0	-2	-0.67	0.0	12.0	0.0
4	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]	1.0	0	2	0	1	2	0.67	2.0	5.0	0.4
5	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	1.0	1	2	1	1	1	0.25	-1.0	10.0	-0.1
6	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']	1.0	1	0	1	0	-1	-0.5	3.0	19.0	0.16
7	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	1.0	2	0	2	0	-2	-0.67	2.0	5.0	0.4
8	mok move back three feet	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	2.0	1	3	1	1	2	0.4	0.0	12.0	0.0
9	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	3.0	0	2	0	1	2	0.67	-1.0	10.0	-0.1
10	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']	3.0	1	2	1	1	1	0.25	2.0	5.0	0.4
11	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	3.0	1	0	1	0	-1	-0.5	0.0	12.0	0.0
12	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	3.0	2	0	2	0	-2	-0.67	0.0	12.0	0.0
13	mok move up three feet	5	[3]	[{up, mok, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	4.0	1	3	1	1	2	0.4	-1.0	10.0	-0.1
14	mok move two feet backwards	5	[3]	[{backwards, mok, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	5.0	1	3	1	1	2	0.4	2.0	5.0	0.4
15	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	5.0	1	0	1	0	-1	-0.5	-1.0	10.0	-0.1
16	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']	5.0	2	0	2	0	-2	-0.67	-1.0	10.0	-0.1
17	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	6.0	0	2	0	1	2	0.67	-1.0	10.0	-0.1
18	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	6.0	1	2	1	1	1	0.25	3.0	7.0	0.43
19	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	6.0	1	0	1	0	-1	-0.5	0.0	12.0	0.0
20	move eleven feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{eleven}]	['move']	[1]	['VERB']	6.0	1	2	1	1	1	0.25	-1.0	10.0	-0.1
21	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']	6.0	1	0	1	0	-1	-0.5	-3.0	11.0	-0.27
22	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']	6.0	1	2	1	1	1	0.25	-3.0	17.0	-0.18
23	mok move three feet backwards	5	[3]	[{backwards, feet, mok}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']	7.0	1	3	1	1	2	0.4	0.0	12.0	0.0
24	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	8.0	0	2	0	1	2	0.67	0.0	6.0	0.0
