trans_info	Unnamed: 2	instruction_segment	instruction_segment.1	Instruction	Instruction2
0	a01.trans	 mok move right 	mok move right	 mok move right 	[' mok move right ']
0	a01.trans	 move four feet 	move four feet	 move four feet 	[' move four feet ']
0	a01.trans	 turn left 	turn left	 turn left 	[' turn left ']
0	a01.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
1	a02.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
1	a02.trans	 move four feet up 	move four feet up	 move four feet up 	[' move four feet up ']
1	a02.trans	 turn right 	turn right	 turn right 	[' turn right ']
1	a02.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
2	a03.trans	 mok move back three feet 	mok move back three feet	 mok move back three feet 	[' mok move back three feet ']
3	a04.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
3	a04.trans	 move four feet up 	move four feet up	 move four feet up 	[' move four feet up ']
3	a04.trans	 turn left 	turn left	 turn left 	[' turn left ']
3	a04.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
4	a05.trans	 mok move up three feet 	mok move up three feet	 mok move up three feet 	[' mok move up three feet ']
5	a06.trans	 mok move two feet backwards 	mok move two feet backwards	 mok move two feet backwards 	[' mok move two feet backwards ']
5	a06.trans	 turn left 	turn left	 turn left 	[' turn left ']
5	a06.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
6	a07.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
6	a07.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
6	a07.trans	 turn left 	turn left	 turn left 	[' turn left ']
6	a07.trans	 move eleven feet up 	move eleven feet up	 move eleven feet up 	[' move eleven feet up ']
6	a07.trans	 turn left 	turn left	 turn left 	[' turn left ']
6	a07.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
7	a08.trans	 mok move three feet backwards 	mok move three feet backwards	 mok move three feet backwards 	[' mok move three feet backwards ']
8	a09.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
8	a09.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
8	a09.trans	 turn right 	turn right	 turn right 	[' turn right ']
8	a09.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
9	a10.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
9	a10.trans	 turn right 	turn right	 turn right 	[' turn right ']
9	a10.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
10	a11.trans	 mok move three feet back 	mok move three feet back	 mok move three feet back 	[' mok move three feet back ']
11	a12.trans	 mok turn right 	mok turn right	 mok turn right 	[' mok turn right ']
11	a12.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
11	a12.trans	 turn right 	turn right	 turn right 	[' turn right ']
11	a12.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
12	a13.trans	 mok turn left 	mok turn left	 mok turn left 	[' mok turn left ']
12	a13.trans	 move two feet up 	move two feet up	 move two feet up 	[' move two feet up ']
12	a13.trans	 turn right 	turn right	 turn right 	[' turn right ']
12	a13.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
13	a14.trans	 mok move two feet up 	mok move two feet up	 mok move two feet up 	[' mok move two feet up ']
13	a14.trans	 turn right 	turn right	 turn right 	[' turn right ']
13	a14.trans	 move seven feet 	move seven feet	 move seven feet 	[' move seven feet ']
14	a15.trans	 mok move three feet up 	mok move three feet up	 mok move three feet up 	[' mok move three feet up ']
15	a16.trans	 mok move back four feet 	mok move back four feet	 mok move back four feet 	[' mok move back four feet ']
15	a16.trans	 turn right 	turn right	 turn right 	[' turn right ']
