	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP
0	mok move right	3	[2]	[{mok, right}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
1	move four feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {four}]	['move', 'move']	[1, 1]	['VERB']
2	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
3	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
4	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
5	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
6	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
7	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
8	mok move back three feet	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
9	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
10	move four feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
11	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
12	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
13	mok move up three feet	5	[3]	[{up, mok, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
14	mok move two feet backwards	5	[3]	[{backwards, mok, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
15	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
16	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
17	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
18	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
19	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
20	move eleven feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{eleven}]	['move']	[1]	['VERB']
21	turn left	2	[]	[]	[]	[]	[]	[1]	[{left}]	['turn']	[1]	['VERB']
22	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
23	mok move three feet backwards	5	[3]	[{backwards, feet, mok}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
24	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
25	move two feet up	4	[2]	[{feet, up}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
26	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
27	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
28	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
29	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
30	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
31	mok move three feet back	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
32	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
33	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
34	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
35	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
36	mok turn left	3	[2]	[{left, mok}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
37	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
38	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
39	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
40	mok move two feet up	5	[3]	[{mok, up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
41	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
42	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
43	mok move three feet up	5	[3]	[{up, mok, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
44	mok move back four feet	5	[3]	[{back, mok, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
45	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
46	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
47	mok move four feet back	5	[3]	[{mok, back, feet}]	['move']	[1]	['VERB']	[1]	[{four}]	['move']	[1]	['VERB']
48	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
49	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
50	mok move two feet up	5	[3]	[{feet, up, mok}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
51	turn right	2	[]	[]	[]	[]	[]	[1]	[{right}]	['turn']	[1]	['VERB']
52	move seven feet	3	[]	[]	[]	[]	[]	[1, 1]	[{feet}, {seven}]	['move', 'move']	[1, 1]	['VERB']
53	mok turn left	3	[2]	[{mok, left}]	['turn']	[1]	['NOUN']	[]	[]	[]	[]	[]
54	move three feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{three}]	['move']	[1]	['VERB']
55	mok turn right	3	[2]	[{mok, right}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]
56	move two feet up	4	[2]	[{up, feet}]	['move']	[1]	['VERB']	[1]	[{two}]	['move']	[1]	['VERB']
